ProductID,Unidades_vendidas_por_producto,ProductID,ORDEN_Mayor_menor,ProductID,TOP_10_ventas
500,7500,463,24175,,sum 
306,12150,399,20769,463,24175
123,1845,336,18480,399,20769
437,6555,213,15774,336,18480
246,11250,276,15600,213,15774
60,960,149,15019,276,15600
373,4849,86,14750,149,15019
183,9618,416,13800,86,14750
1,531,433,12181,416,13800
310,4340,306,12150,433,12181
119,8722,353,11998,306,12150
433,12181,26,11660,,
250,3250,369,11349,,
56,7840,246,11250,,
369,11349,467,10274,,
187,2431,323,9924,,
86,14750,479,9830,,
399,20769,183,9618,,
217,5208,446,9500,,
26,11660,103,9105,,
336,18480,386,8900,,
153,3506,403,8866,,
467,10274,119,8722,,
276,15600,259,8393,,
90,1890,293,8052,,
403,8866,166,8040,,
213,15774,56,7840,,
30,690,340,7820,,
340,7820,196,7700,,
149,15019,500,7500,,
463,24175,229,7330,,
280,7000,136,7040,,
390,4680,280,7000,,
196,7700,437,6555,,
13,169,43,6189,,
327,3597,9,6156,,
136,7040,420,5880,,
446,9500,73,5770,,
263,2630,450,5400,,
73,5770,357,5355,,
386,8900,217,5208,,
200,2400,373,4849,,
9,6156,483,4830,,
323,9924,390,4680,,
293,8052,310,4340,,
107,1498,327,3597,,
420,5880,153,3506,,
229,7330,297,3267,,
47,564,250,3250,,
357,5355,289,3172,,
166,8040,476,2940,,
479,9830,226,2920,,
297,3267,39,2715,,
103,9105,263,2630,,
416,13800,170,2550,,
233,2330,187,2431,,
43,6189,200,2400,,
353,11998,233,2330,,
170,2550,90,1890,,
483,4830,123,1845,,
476,2940,140,1680,,
230,920,107,1498,,
39,2715,480,1440,,
480,1440,60,960,,
289,3172,230,920,,
226,2920,383,887,,
140,1680,77,847,,
450,5400,30,690,,
259,8393,47,564,,
77,847,1,531,,
383,887,13,169,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
,,,0,,
